"FB_mel"	"CG"	"logFC"	"FDR"
"FBgn0001216"	"Hsc70-1"	1.60077185829638	3.19626435313946e-07
"FBgn0002930"	"nec"	1.1178161763043	5.23780144380846e-06
"FBgn0010381"	"Drs"	3.89927243357692	0.000938927706566985
"FBgn0010388"	"Dro"	4.23639711378327	1.12447945055121e-06
"FBgn0012042"	"AttA"	5.24590033575041	5.51872491895086e-06
"FBgn0014865"	"Mtk"	6.90622035934106	1.10394578744949e-12
"FBgn0025583"	"IM2"	4.8371592529517	1.04070719160275e-05
"FBgn0028396"	"TotA"	8.34199227552221	8.92485312122805e-24
"FBgn0028514"	"CG4793"	6.07866739722616	1.17410579953088e-10
"FBgn0031055"	"et"	1.982137008947	0.00368106390143691
"FBgn0031389"	"CG4259"	1.69961363543634	0.0182007193424625
"FBgn0031470"	"CG18557"	4.7020470059482	8.94313372914643e-19
"FBgn0031471"	"CG3117"	5.46143564167711	2.9765919100953e-15
"FBgn0031695"	"Cyp4ac3"	1.01118524570089	0.0476012209724645
"FBgn0032638"	"SPH93"	4.85705952930681	4.80433779494893e-09
"FBgn0032639"	"CG18563"	3.16161151650182	8.1908685159896e-13
"FBgn0033820"	"CG4716"	5.11464086617197	7.43333257702307e-06
"FBgn0033821"	"CG10799"	3.96145874647481	3.65609555185708e-11
"FBgn0034221"	"CG10764"	3.22854726841733	7.86442513357334e-09
"FBgn0034328"	"IM23"	6.96973669836364	1.04070719160275e-05
"FBgn0034329"	"IM1"	6.09303513380093	5.86987357332925e-10
"FBgn0034331"	"CG15067"	5.74665559746403	0.000494191612251623
"FBgn0034407"	"DptB"	7.10732689825309	1.17389176797855e-10
"FBgn0034511"	"GNBP-like3"	5.12639936580289	3.61512672868528e-07
"FBgn0034512"	"CG18067"	3.17857958144373	1.48197499000415e-06
"FBgn0034870"	"CG13559"	3.44345995762138	1.00995099632931e-06
"FBgn0034880"	"ItgaPS5"	2.10336475810868	0.000105195882052987
"FBgn0037515"	"Sp7"	1.29422700723084	5.98064619267752e-05
"FBgn0038214"	"CG9616"	1.47317440285582	0.000650222724254284
"FBgn0038299"	"Spn88Eb"	3.13969061807555	6.39261157476869e-10
"FBgn0038838"	"TotB"	7.83515726975227	1.54069052175411e-08
"FBgn0039593"	"Sid"	2.44038210539294	0.000217579343346525
"FBgn0039798"	"CG11313"	1.83300540948428	4.7513722944958e-05
"FBgn0040104"	"lectin-24A"	4.10660393892045	1.35578075034608e-15
"FBgn0040653"	"IM4"	2.77241768059263	0.00241801205512914
"FBgn0040734"	"CG15065"	2.35378165055458	0.00920735102663484
"FBgn0040736"	NA	5.75301660338976	1.30220932473505e-06
"FBgn0041182"	"Tep2"	1.71508559111495	8.47398199645654e-07
"FBgn0041183"	"Tep1"	5.35273421912743	1.53206184327519e-19
"FBgn0041579"	"AttC"	6.98923801675538	1.30471282000255e-07
"FBgn0041581"	"AttB"	4.31166569534419	0.000270707169433052
"FBgn0043578"	"PGRP-SB1"	3.38845479118814	2.78020798640982e-05
"FBgn0044011"	"Spn43Ad"	1.08576120144353	0.0301838788027206
"FBgn0044809"	"TotZ"	5.30110308754573	0.00106925047919448
"FBgn0044812"	"TotC"	8.97506859224452	1.33053469107628e-22
"FBgn0050091"	"CG30091"	4.72114692319019	1.17389176797855e-10
"FBgn0050414"	"CG30414"	2.33366537622733	3.15156939698474e-07
"FBgn0051664"	"CG31664"	1.63394112667631	0.0207352305821808
"FBgn0052185"	"edin"	5.20051845556705	2.0112592236355e-05
"FBgn0053271"	NA	2.71008259499468	0.0393058902473381
"FBgn0053459"	"CG33459"	3.39267583749301	2.31723437658894e-14
"FBgn0053460"	"CG33460"	2.39377600026241	6.18232011038002e-05
"FBgn0053461"	"CG33461"	2.49021268847745	4.69486546719971e-06
"FBgn0053462"	"CG33462"	7.28591056464812	3.073335788806e-23
"FBgn0067905"	"IM14"	4.51844644081341	3.66563006523866e-06
"FBgn0069056"	"CG33226"	3.00820074813058	7.63307987612234e-07
"FBgn0085465"	"CG34436"	4.48796494713848	1.64429813282007e-09
"FBgn0262531"	"CG43085"	4.67260981799954	1.53206184327519e-19
"FBgn0262587"	NA	3.38607410516226	0.000131654550691912
"FBgn0262588"	NA	2.63704219532622	6.10945022512525e-05
"FBgn0262607"	NA	4.05847452806445	7.0680063386129e-09
"FBgn0262683"	"CG43153"	4.29794427373988	3.8760102930227e-10
"FBgn0262794"	NA	4.20406268054631	1.85027979374623e-36
"FBgn0262808"	"CG43179"	3.15129400900703	8.26278910173239e-12
"FBgn0264776"	"CG44014"	1.92694919647217	0.000992473032915322
"FBgn0265668"	"CG44475"	8.57385024417186	9.26400107332969e-23
