"FBgn_mel" "CG" "logFC" "FDR"
"1" "FBgn0001216" "Hsc70-1" 1.60864527006297 0.0119379317395414
"2" "FBgn0002930" "nec" 1.11315643091661 0.0097293822835734
"3" "FBgn0010381" "Drs" 4.14125979424903 0.0224554980779132
"4" "FBgn0010388" "Dro" 4.36981674560061 0.00214126309177094
"5" "FBgn0012042" "AttA" 5.22570942676056 0.00371242016717277
"6" "FBgn0014865" "Mtk" 7.01900238822903 3.77997893933748e-05
"7" "FBgn0025583" "IM2" 4.97412980940232 0.00492168893437271
"8" "FBgn0028396" "TotA" 8.37656195128454 1.2472854850033e-06
"9" "FBgn0028514" "CG4793" 6.24098806245261 0.0001008703246222
"10" "FBgn0031470" "CG18557" 4.69651263404059 7.56105278110337e-06
"11" "FBgn0031471" "CG3117" 5.31199876153278 2.13123034829209e-05
"12" "FBgn0032638" "SPH93" 4.86389890107742 0.00100620029037739
"13" "FBgn0032639" "CG18563" 3.16848929840524 6.16903374278332e-05
"14" "FBgn0033820" "CG4716" 5.08218874778336 0.00400566183686318
"15" "FBgn0033821" "CG10799" 3.95264179087778 0.000240647672151541
"16" "FBgn0034221" "CG10764" 3.2079859243478 0.000843819387644647
"17" "FBgn0034328" "IM23" 7.05024486601341 0.00236397644061222
"18" "FBgn0034329" "IM1" 6.11737867746826 0.000301889989324582
"19" "FBgn0034331" "CG15067" 5.89973108375261 0.0112033428029902
"20" "FBgn0034407" "DptB" 7.47356679814492 0.0001595735923188
"21" "FBgn0034511" "GNBP-like3" 5.31574800063613 0.00179833829340975
"22" "FBgn0034512" "CG18067" 3.21275895706149 0.00371242016717277
"23" "FBgn0034870" "CG13559" 3.42356022538278 0.00300862773684235
"24" "FBgn0034880" "ItgaPS5" 2.10312587933588 0.0184083609601548
"25" "FBgn0037515" "Sp7" 1.29613702005213 0.00691116405982212
"26" "FBgn0038214" "CG9616" 1.47401072889933 0.0256764545663164
"27" "FBgn0038299" "Spn88Eb" 3.14681566555608 0.000465853719019816
"28" "FBgn0038838" "TotB" 7.84596765771874 0.00300862773684235
"29" "FBgn0039593" "Sid" 2.47723998412995 0.0181771210462701
"30" "FBgn0039798" "CG11313" 1.83337079812619 0.00668892730681323
"31" "FBgn0040104" "lectin-24A" 4.10739003474719 3.74815181473603e-05
"32" "FBgn0040736" NA 5.82572278136314 0.00176836080866859
"33" "FBgn0041182" "Tep2" 1.71432731469008 0.00179833829340975
"34" "FBgn0041183" "Tep1" 5.34983387835034 9.86328540923036e-06
"35" "FBgn0041579" "AttC" 6.86523076717209 0.00137225293710127
"36" "FBgn0041581" "AttB" 4.298243562203 0.0181771210462701
"37" "FBgn0043578" "PGRP-SB1" 3.41990660085651 0.0119379317395414
"38" "FBgn0044809" "TotZ" 5.26525200286457 0.0128569258159138
"39" "FBgn0044812" "TotC" 8.98201889172723 1.22801756872952e-06
"40" "FBgn0050091" "CG30091" 4.7588591935224 0.000241083112300989
"41" "FBgn0050414" "CG30414" 2.32219831327126 0.0018175374881316
"42" "FBgn0052185" "edin" 5.31449965711086 0.00342666770160509
"43" "FBgn0053459" "CG33459" 3.3773699201339 3.77997893933748e-05
"44" "FBgn0053460" "CG33460" 2.3817402660806 0.0137605190691973
"45" "FBgn0053461" "CG33461" 2.47651851838244 0.00558653188322768
"46" "FBgn0053462" "CG33462" 7.21413153156366 1.22801756872952e-06
"47" "FBgn0067905" "IM14" 4.54977722820463 0.00339148954106428
"48" "FBgn0069056" "CG33226" 2.94940311508301 0.00300862773684235
"49" "FBgn0085465" "CG34436" 4.429767893987 0.000302527868307261
"50" "FBgn0262531" "CG43085" 4.67330948141146 8.94695395068137e-06
"51" "FBgn0262587" NA 3.25029990018914 0.0151256866565374
"52" "FBgn0262588" NA 2.54296302397932 0.0153806491492249
"53" "FBgn0262607" NA 4.09996102445879 0.000859669627557569
"54" "FBgn0262683" "CG43153" 4.31390568769511 0.000276240775137049
"55" "FBgn0262794" NA 4.20794266165719 8.20600428764777e-08
"56" "FBgn0262808" "CG43179" 3.16908224752963 0.0001595735923188
"57" "FBgn0264776" "CG44014" 1.92854215379879 0.041501183641561
"58" "FBgn0265668" "CG44475" 8.58422023483663 1.22801756872952e-06
